"old_wwtp_name","sewershed_code","County_address","current_wwtp_name"
"[Fremont Basin] -  Raymond A. Boege Alvarado WWTP","UnionSD_Alvrdo_Fremont","Alameda","UnionSD_Alvrdo_Fremont"
"[Newark Basin] - Raymond A. Boege Alvarado WWTP","UnionSD_Alvrdo_Newark","Alameda","UnionSD_Alvrdo_Newark"
"[Union City Basin] - Raymond A. Boege Alvarado WWTP","UnionSD_Alvrdo_Union","Alameda","UnionSD_Alvrdo_Union"
"Amer_Canyon_Napa","Amer_Canyon_Napa","Napa","Amer_Canyon_Napa"
"AmerValley_Quincy","AmerValley_Quincy","Plumas","AmerValley_Quincy"
"BKERSFLD_P2","BKERSFLD_P2","Kern","BKERSFLD_P2"
"BKERSFLD_P3","BKERSFLD_P3","Kern","BKERSFLD_P3"
"Calera Creek Water Recycling Plant","CCWRP_CaleraCreek","San Mateo","CCWRP_CaleraCreek"
"CALEXICO_CTY","CALEXICO_CTY","Imperial","CALEXICO_CTY"
"CCCSD_WWTP","CCCSD_WWTP","Contra Costa","CCCSD_WWTP"
"Central Marin Sanitation Agency","CMSA_Inf","Marin","CMSA_Inf"
"Central Marin Sanitation Agency - West Railroad","CMSA_WRPS","Marin","CMSA_WRPS"
"City of Hollister Domestic Water Recycling Facility","Hollister_DWRF","San Benito","Hollister_DWRF"
"City of Madera, Wastewater Treatment Plant","Madera_WWTP","Madera","Madera_WWTP"
"City of Paso Robles Wastewater Treatment Plant","PasoRobles_WWTP","San Luis Obispo","PasoRobles_WWTP"
"City of San Leandro Water Pollution Control Plant","SanLeandro_SD","Alameda","SanLeandro_SD"
"City of San Mateo & Estero M.I.D. Water Quality Control Plant","Cty_SanMateo","San Mateo","Cty_SanMateo"
"City of Santa Cruz WTF - City Influent","SCCSD_City","Santa Cruz","SCCSD_City"
"City of Santa Cruz WTF - County Influent","SCCSD_County","Santa Cruz","SCCSD_County"
"City of Santa Rosa, Laguna Treatment Plant","SantaRosa_Laguna","Sonoma","SantaRosa_Laguna"
"City of Turlock Regional Water Quality Control Facility","Turlock_RWQCF","Stanislaus","Turlock_RWQCF"
"Coastal Treatment Plant","LagunaNiguel_CTP","Orange","LagunaNiguel_CTP"
"Davis_WWTP","Davis","Yolo","Davis"
"Davis_WWTP","Davis","Yolo","Davis_WWTP"
"EBMUD","EBMUD","Alameda","EBMUD"
