county,current_cases,recovered_cases,E,I,R1,id
Alameda,875,2080,1590.909090909091,2784.090909090909,10400,1
Butte,43,98,78.18181818181819,136.8181818181818,490,2
California,48414,110820,88025.45454545454,154044.54545454544,554100,40
Contra Costa,572,1349,1040,1820,6745,3
Del Norte,9,13,16.363636363636363,28.636363636363637,65,4
Fresno,431,958,783.6363636363636,1371.3636363636363,4790,5
Humboldt,25,62,45.45454545454545,79.54545454545455,310,6
Kern,244,706,443.6363636363636,776.3636363636364,3530,7
Kings,55,136,100,175,680,8
Lake,24,29,43.63636363636364,76.36363636363636,145,9
Los Angeles,3848,9551,6996.363636363637,12243.636363636364,47755,10
Madera,53,135,96.36363636363636,168.63636363636363,675,11
Marin,135,263,245.45454545454547,429.54545454545456,1315,12
Mariposa,8,5,14.545454545454547,25.454545454545453,25,13
Merced,127,281,230.9090909090909,404.09090909090907,1405,14
Mono,3,6,5.454545454545455,9.545454545454545,30,15
Monterey,88,185,160,280,925,16
Napa,63,115,114.54545454545455,200.45454545454544,575,17
Orange,1016,2142,1847.2727272727273,3232.7272727272725,10710,18
Placer,164,374,298.1818181818182,521.8181818181818,1870,19
Plumas,3,7,5.454545454545455,9.545454545454545,35,20
Riverside,716,1946,1301.8181818181818,2278.181818181818,9730,21
Sacramento,754,1611,1370.909090909091,2399.090909090909,8055,22
San Benito,39,69,70.9090909090909,124.0909090909091,345,23
San Bernardino,665,1590,1209.0909090909092,2115.909090909091,7950,24
San Diego,1290,3071,2345.4545454545455,4104.545454545454,15355,25
San Francisco,583,1254,1060,1855,6270,26
San Joaquin,372,928,676.3636363636364,1183.6363636363635,4640,27
San Luis Obispo,64,171,116.36363636363637,203.63636363636363,855,28
San Mateo,418,883,760,1330,4415,29
Santa Barbara,142,326,258.1818181818182,451.8181818181818,1630,30
Santa Clara,1110,2505,2018.1818181818182,3531.818181818182,12525,31
Santa Cruz,196,316,356.3636363636364,623.6363636363636,1580,32
Shasta,25,33,45.45454545454545,79.54545454545455,165,33
Solano,224,556,407.2727272727273,712.7272727272727,2780,34
Sonoma,212,482,385.45454545454544,674.5454545454545,2410,35
Stanislaus,204,532,370.90909090909093,649.0909090909091,2660,36
Sutter,49,81,89.0909090909091,155.9090909090909,405,37
Ventura,219,518,398.1818181818182,696.8181818181818,2590,38
Yolo,75,165,136.36363636363637,238.63636363636363,825,39
