wwtp_name,County_address
AmerValley_Quincy,Plumas
Amer_Canyon_Napa,Napa
Atascadero_WRF,San Luis Obispo
BKERSFLD_P2,Kern
BKERSFLD_P3,Kern
CALEXICO_CTY,Imperial
CCCSD_WWTP,Contra Costa
CCSD_Cambria,San Luis Obispo
CCWRP_CaleraCreek,San Mateo 
CCWTP_CrescentCity,Del Norte
CMSA_Inf,Marin
CMSA_WRPS,Marin
CODIGA_All,Santa Clara
Carmel_WD,Monterey
City_Lakeport,Lake
City_Lompoc,Santa Barbara
City_Redlands,San Bernardino
City_Yuba,Yuba
Cty_SanMateo,San Mateo
Davis,Yolo
DelDiablo,Contra Costa
EBMUD,Alameda
EDID_ElDorado,El Dorado
ElCentro_WWTP,Imperial
EllisCreek_Petaluma,Sonoma
EspartoCSD_WWTP,Yolo
Eureka_ElkRiver,Humboldt
FRSN_CLVS_RWRF,Fresno
FSSD_Fairfield,Solano
FortBragg_WWTP,Mendocino
Goleta_SD,Santa Barbara
HWWTF_Hanford,Kings
Hollister_DWRF,San Benito
IEUA_RP1_Ontario,San Bernardino
LACSD_Jnt,Los Angeles
LACSD_Lancaster,Los Angeles
LASAN_Hyp,Los Angeles
LAX,Los Angeles
LGVSD_Inf,Marin
LOWRF_LosOsos,San Luis Obispo
LVMWD_Tapia,Los Angeles
LagunaNiguel_CTP,Orange
LagunaNiguel_JBLTP,Orange
LagunaNiguel_Regional,Orange
LakeCty_NW,Lake
LakeCty_SE,Lake
Lodi_WSWPCF,San Joaquin
LosBanos_WWTP,Merced
Madera_WWTP,Madera
MammothCWD,Mono
Manteca_WWQCF,San Joaquin
Merced_Cty,Merced
Modesto_Cty,Stanislaus
MontereyWWTP_Marina,Monterey
MountainHouse_WWTP,San Joaquin
NCSD_Nipomo,San Luis Obispo
NPS_ElPortal,Mariposa
NapaSan_SWRF,Napa
NovatoSD,Marin
OCSD_P1,Orange
OrovilleSC,Butte
Oxnard_WWTP,Ventura
PA_all,Santa Clara
PasoRobles_WWTP,San Luis Obispo
PlacerNW_PG_WWTP,Placer
PlacerSE_DC_WWTP,Placer
Riverside_WQCP,Riverside
SAMC_HMB,San Mateo
SBMWD_WWRF,San Bernardino
SCCSD_City,Santa Cruz
SCCSD_County,Santa Cruz
SCCSD_combined,Santa Cruz
SDPU_PtLom,San Diego
SFPUC_Ocean,San Francisco
SFPUC_SE,San Francisco
SFPUC_SE_Alabama,San Francisco
SFPUC_SE_Ingalls,San Francisco
SFPUC_SE_Jackson,San Francisco
SFPUC_SE_NHF,San Francisco
SFPUC_SE_PP,San Francisco
SFPUC_SE_RR,San Francisco
SLO_WRRF,San Luis Obispo
SMWTP_MillValley,Marin
SRCSD,Sacramento
SSLOCSD_Oceano,San Luis Obispo
STPUD_Southtahoe,El Dorado
SVCW_WWTP,San Mateo
SanLeandro_SD,Alameda
SantaClara_GilMrg,Santa Clara
SantaClara_SJ,Santa Clara
SantaClara_Sun,Santa Clara
SantaRosa_Laguna,Sonoma
Sausalito_MarinCity_Inf,Marin
SouthSD_WWTP,San Diego
Stockton_RWWCF,San Joaquin
Tracy_WWTP,San Joaquin
Turlock_RWQCF,Stanislaus
UCDavis_WWTP,Yolo
UVSD_Ukiah,Mendocino
UnionSD_Alvrdo_Fremont,Alameda
UnionSD_Alvrdo_Newark,Alameda
UnionSD_Alvrdo_Union,Alameda
VSD_Indio,Riverside
Vallejo_FWD,Solano
WCWD,Contra Costa
Watsonville_WWTP,Santa Cruz
Windsor_WTRDF,Sonoma
Winters_WTF,Yolo
Woodland_WPCP,Yolo
